L=2,L=1,L=0.1,L=0.01,L=0.001,L=0
2.1321513304750503,2.0893902160820397,2.071530755086183,2.0712294512403746,2.0712176501282005,2.071216550177295
2.1165269478918396,2.0683262962518385,2.0448350876963612,2.0439679687174475,2.04390132031202,2.0438941512254503
2.09984921693623,2.0520831012321405,2.0267040176087305,2.025533735242687,2.0254391179220925,2.025428882862063
2.0905965304082303,2.0427404804162914,2.0157115225305415,2.0142953562263424,2.014179377899392,2.014166827927866
2.0983439031575104,2.0516707652604023,2.0242212915582947,2.0223611518423885,2.0221936607821664,2.0221753167607512
2.079594435843034,2.029820150741076,2.0083463149850775,2.020164419749357,2.022152649683487,2.0223859158231714
2.0833986973585223,2.028847934611965,1.9910813955191882,1.9872967399254338,1.9869226436596998,1.986881238809836
2.085077058171695,2.0346293220633718,1.9908291152903934,1.9837857834446997,1.9829886282256766,1.9828988577553457
2.086167208183595,2.0278479464005774,1.9782308443007264,1.9692190204183138,1.968182385453492,1.9680655122597692
2.066732629572558,2.009549513930643,1.9675133136485765,1.9664771816443032,1.966662716965281,1.966688299128297
2.060162117386458,1.9956543220748186,1.9282012166097053,1.9133948336251336,1.9115847232524363,1.9113790349266975
2.0709405217387156,2.0031009554928527,1.9219404328042977,1.9009558956691321,1.8982932060409219,1.897989102363614
2.0809257614003256,2.007894013444566,1.906576842353018,1.8799975385428458,1.8766619527724737,1.87628164252006
2.0577548795419687,1.978941489167447,1.8609134766139994,1.8282971203475342,1.8241336926081024,1.8236576866466896
2.0455005386772855,1.9622550032058528,1.8285329030427508,1.789862786439477,1.7849082966199257,1.7843417716131227
2.0526226100945526,1.9637803067369632,1.8053035115809493,1.7592629606837435,1.7533630688154476,1.7526886378044717
2.055068582029745,1.9552149283517422,1.7660229383563142,1.710856280868998,1.7037493940887136,1.7029370169990878
2.0494059050666578,1.9439750936006484,1.7356867870254697,1.6809516956257735,1.6741965144249502,1.6734291272945678
2.059760663642045,1.951372483151637,1.7191005685679759,1.6523158571132186,1.6435436609380865,1.642541612427084
2.0671359849789153,1.9378281214766295,1.6734208079671096,1.6020107416234828,1.5925046719499198,1.5914172754417626
2.042778237063525,1.9089448824229276,1.6260519059343785,1.5519380586713123,1.542197609636271,1.5410891149087735
2.0481335393102182,1.9018502939082609,1.6012972022034702,1.521674079554099,1.511149190811735,1.5099554629619727
2.0380845724846792,1.879227335269997,1.557364709616376,1.4721949876696818,1.461211157335681,1.4599740105377883
2.0423328270235146,1.865946433216477,1.5151314537416656,1.4214110000951297,1.4095136105730448,1.40818033560188
2.0314603788875827,1.8483030808217387,1.4907999021932172,1.391215261316429,1.3789082881506793,1.3775372182297603
2.0411292157304373,1.8421410585551607,1.45744376255736,1.348746701707135,1.335660257000992,1.3342093779631328
2.0474197584876968,1.832652171881017,1.4269234570813423,1.30945144994589,1.2958411859199268,1.294338409085336
